Time_Step,Simulated_MSD,Theoretical_MSD
0,1.9544167696057537,0.0
1,3.970424946467408,2.0
2,5.972460290953667,4.0
3,7.396335208970975,6.0
4,9.67333396762714,8.0
5,11.688745027057026,10.0
6,14.082882711861181,12.0
7,15.6274787506818,14.0
8,17.630880548851046,16.0
9,19.701544002356368,18.0
10,21.279274822260764,20.0
11,22.844574727699225,22.0
12,25.09667622474587,24.0
13,27.046610301221964,26.0
14,29.132600847413492,28.0
15,31.59253395222902,30.0
16,33.86809063783427,32.0
17,34.980659955487084,34.0
18,36.899406412427474,36.0
19,38.83457223916855,38.0
20,41.18208367471347,40.0
21,43.850162445254604,42.0
22,46.28743380425528,44.0
23,48.66329595299815,46.0
24,49.28488177748375,48.0
25,52.152084761997806,50.0
26,53.07918362604135,52.0
27,54.60321497030862,54.0
28,56.71219156410664,56.0
29,58.80587235464034,58.0
30,59.78915360705864,60.0
31,61.684970971616096,62.0
32,62.9837944504465,64.0
33,64.82595837930475,66.0
34,66.57467392165255,68.0
35,68.15366535105646,70.0
36,71.4686500952935,72.0
37,73.47549424593973,74.0
38,75.32152919669086,76.0
39,76.86579982589387,78.0
40,77.69859560066416,80.0
41,81.9009375907957,82.0
42,84.59572178433503,84.0
43,85.52772464379998,86.0
44,88.41761793489482,88.0
45,88.27706234135137,90.0
46,89.91214503852405,92.0
47,91.0738258473017,94.0
48,94.63639917340221,96.0
49,95.34369473553656,98.0
50,97.58921167220802,100.0
51,98.94327755932125,102.0
52,101.16918892653791,104.0
53,102.629967638939,106.0
54,107.34988919639692,108.0
55,110.59554963091425,110.0
56,113.88039148980718,112.0
57,115.33827550978638,114.0
58,117.45848583521067,116.0
59,119.79599914185599,118.0
60,120.7262792200219,120.0
61,122.16925102186649,122.0
62,124.63019508096919,124.0
63,126.42715841763973,126.0
64,129.5048413976978,128.0
65,133.11228882057281,130.0
66,135.81352759140083,132.0
67,137.31187078929017,134.0
68,137.06190006230733,136.0
69,140.64276010877808,138.0
70,143.53644541048405,140.0
71,146.96022665343457,142.0
72,150.633577443623,144.0
73,152.3198807461296,146.0
74,155.02731755596358,148.0
75,156.97528947469038,150.0
76,160.2435375007946,152.0
77,162.1942633482589,154.0
78,164.12567701871143,156.0
79,167.49284522899345,158.0
80,168.96923260943677,160.0
81,173.1365798423942,162.0
82,174.02550729805964,164.0
83,173.9636466351961,166.0
84,176.4005962472568,168.0
85,179.59248831854336,170.0
86,182.89068358777604,172.0
87,184.42278964033676,174.0
88,185.70633148634454,176.0
89,188.4576808755595,178.0
90,190.83034024326483,180.0
91,191.3762164678952,182.0
92,194.6088184938902,184.0
93,196.87875539936084,186.0
94,197.91867183543624,188.0
95,200.19474604030034,190.0
96,198.63564631440997,192.0
97,200.31171463219044,194.0
98,203.4973208907027,196.0
99,205.34195942400777,198.0
100,207.05107457123117,200.0
101,209.17755383976987,202.0
102,212.65745098240748,204.0
103,213.70851935848904,206.0
104,215.15707728034081,208.0
105,219.8789846157973,210.0
106,219.275491197341,212.0
107,219.14959465929252,214.0
108,222.56078393718076,216.0
109,223.50167210164562,218.0
110,226.22899593310152,220.0
111,227.93645970529707,222.0
112,228.97991975768778,224.0
113,232.6944882353694,226.0
114,231.13859049870337,228.0
115,232.1780965421862,230.0
116,234.47175505463306,232.0
117,237.6426844919262,234.0
118,239.6678422023049,236.0
119,241.3161773717119,238.0
120,241.10597169686883,240.0
121,242.71557079051288,242.0
122,246.17721768285725,244.0
123,247.3491931357231,246.0
124,250.49268005081265,248.0
125,252.02406222582218,250.0
126,254.4785345999355,252.0
127,254.80912375026563,254.0
128,256.41956040288864,256.0
129,257.75415815671454,258.0
130,260.33577519090665,260.0
131,261.8100655530642,262.0
132,264.9890226040472,264.0
133,267.11830442394205,266.0
134,266.9725856794118,268.0
135,268.2351932486652,270.0
136,269.2186304155885,272.0
137,271.6780986578128,274.0
138,273.2676711368022,276.0
139,273.2948682326286,278.0
140,275.95376307517716,280.0
141,275.1284081012382,282.0
142,278.0331742617276,284.0
143,280.4023551922861,286.0
144,281.0905304311803,288.0
145,283.7148068395826,290.0
146,288.65591110070255,292.0
147,291.5424353326804,294.0
148,297.3066795131818,296.0
149,298.02288268144224,298.0
150,298.92310010012864,300.0
151,299.951164287236,302.0
152,300.71534567971366,304.0
153,304.85095038334896,306.0
154,306.039773983874,308.0
155,308.15238577022575,310.0
156,312.4662150713064,312.0
157,314.4533431471929,314.0
158,315.7277642803609,316.0
159,318.1659356133411,318.0
160,323.2767029742145,320.0
161,324.3836268244702,322.0
162,327.7067621835695,324.0
163,328.2368076636126,326.0
164,331.2533497919732,328.0
165,332.9425302435135,330.0
166,333.17477377809143,332.0
167,334.38152701600535,334.0
168,337.443985604165,336.0
169,340.8429845763401,338.0
170,343.834266456252,340.0
171,343.7051578218659,342.0
